更新日（下が最新　表示も更新日が来てからとなる）,更新内容（３行以内）,画像ファイルURL,画像alt,更新先URL
2026/4/3,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！4OLD,../images/Other/index/Renew.png,リニューアル,../html/index.html
2026/4/4,八幡市バドミントン<BR>協会の公式ウェブサイトを<BR>リニューアルオープンしました！5,../images/Other/index/Renew.png,リニューアル,../html/index.html
2026/4/5,八幡市バドミントン<BR>協会の公式ウェブサイトを<BR>リニューアルオープンしました！6,../images/Other/index/Renew.png,リニューアル,
2026/4/6,八幡市バドミントン<BR>協会の公式ウェブサイトを<BR>リニューアルオープンしました！7,,,../html/index.html
2026/4/7,,../images/Other/index/Renew.png,リニューアル,../html/index.html
2026/4/8,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！9ALT,../images/Other/index/Renew1.png,リニューアル,../html/index.html
2026/4/9,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！10IMG,,リニューアル,../html/index.html
2026/4/10,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！11ALT2,../images/Other/index/Renew2.png,,../html/index.html
2026/4/11,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！12,../images/Other/index/Renew.png,リニューアル,../html/index.html
2026/4/12,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！13,../images/Other/index/Renew.png,リニューアル,../html/index.html
2026/4/13,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！14,../images/Other/index/Renew.png,リニューアル,../html/index.html
2026/4/14,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！15NEW,../images/Other/index/Renew.png,リニューアル,../html/index.html
2026/4/15,八幡市バドミントン協会の公式ウェブサイトをリニューアルオープンしました！16,../images/Other/index/Renew.png,リニューアル,../html/index.html
